model,gender,education,politics,pgreen,standpointNum,mgender,meducation,mpolitics,mpgreen,mstandpointNum,
gemini-2.0-flash-001,Female,"Some college, no degree",Liberal,74,3,female,college,liberal,pro-environment,3,
qwen/qwen3-32b,Male,"Some college, no degree",Moderate,81,1,male,college,liberal,pro-environment,1,
qwen/qwen3-32b,Female,"Some college, no degree",Very conservative,20,3,female,no,liberal,pro-environment,3,
qwen/qwen3-32b,Male,College graduate/some postgrad,Liberal,81,1,male,college,conservative,pro-environment,1,
qwen/qwen3-32b,Male,Postgraduate,Liberal,81,1,male,no,liberal,pro-environment,1,
llama-3.3-70b-versatile,Male,"Some college, no degree",Very liberal,59,1,male,college,liberal,pro-environment,1,
qwen/qwen3-32b,Female,College graduate/some postgrad,Very liberal,100,1,male,college,liberal,pro-environment,1,
qwen/qwen3-32b,Female,Associate's degree,Conservative,5,2,female,no,liberal,not,2,
gemini-2.0-flash-001,Male,Postgraduate,Conservative,7,1,male,no,conservative,not,1,
openai/gpt-oss-120b,Female,College graduate/some postgrad,Conservative,59,1,male,college,conservative,not,1,
openai/gpt-oss-120b,Male,College graduate/some postgrad,Liberal,11,1,male,college,conservative,not,1,
qwen/qwen3-32b,Male,Postgraduate,Very conservative,74,1,male,college,conservative,pro-environment,1,
openai/gpt-oss-120b,Female,Postgraduate,Moderate,40,2,male,college,conservative,not,2,
llama-3.3-70b-versatile,Male,High school graduate,Conservative,31,1,male,not,conservative,not,1,
openai/gpt-oss-120b,Male,Associate's degree,Liberal,74,3,female,college,conservative,pro-environment,3,
qwen/qwen3-32b,Female,Postgraduate,Very liberal,74,1,male,college,liberal,pro-environment,1,
openai/gpt-oss-120b,Male,College graduate/some postgrad,Moderate,11,1,male,no,conservative,not,1,
qwen/qwen3-32b,Male,College graduate/some postgrad,Conservative,11,1,male,no,conservative,not,1,
qwen/qwen3-32b,Male,"Some college, no degree",Liberal,90,1,female,college,liberal,not,1,
gemini-2.0-flash-001,Male,College graduate/some postgrad,Liberal,74,2,female,college,liberal,pro-environment,2,
gemini-2.0-flash-001,Female,College graduate/some postgrad,Conservative,81,2,female,college,conservative,not,2,
gemini-2.0-flash-001,Female,Postgraduate,Moderate,59,2,female,college,conservative,not,2,
gemini-2.0-flash-001,Male,High school graduate,Liberal,52,2,female,not,conservative,not,2,
qwen/qwen3-32b,Male,College graduate/some postgrad,Moderate,22,1,male,college,liberal,pro-environment,1,
openai/gpt-oss-120b,Male,Postgraduate,Liberal,26,1,male,not,liberal,not,1,
gemini-2.0-flash-001,Male,"Some college, no degree",Conservative,52,1,male,not,conservative,not,1,
llama-3.3-70b-versatile,Male,Associate's degree,Very liberal,46,1,female,college,liberal,pro-environment,1,
llama-3.3-70b-versatile,Female,Associate's degree,Moderate,59,2,female,college,liberal,pro-environment,2,
llama-3.3-70b-versatile,Female,"Some college, no degree",Liberal,40,2,male,college,conservative,not,2,
openai/gpt-oss-120b,Female,Postgraduate,Liberal,81,2,male,college,liberal,pro-environment,2,
qwen/qwen3-32b,Female,College graduate/some postgrad,Very conservative,31,1,male,college,conservative,not,1,
gemini-2.0-flash-001,Male,"Some college, no degree",Liberal,81,2,male,not,conservative,not,2,
